#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 
0    0    0.74542    -0.04319899999999999  -0.11275999999999997  -0.12671900000000003  -0.228927             -0.41311499999999995  -0.5090049999999999   
0    1    0.834999   -0.04026800000000008  -0.11823600000000001  -0.202299             -0.483368             -0.571629             -0.61492              
0    3    0.988511   -0.017651000000000083 -0.16309200000000001  -0.277443             -0.412968             -0.470708             -0.651417             
0    4    0.997003   -0.05225800000000003  -0.18471700000000002  -0.467371             -0.64242              -0.598784             -0.655187             
0    5    0.88192    0.0023839999999999417 -0.1839510000000001   -0.38989              -0.432615             -0.48993100000000006  -0.695088             
0    6    0.66679    -0.04388599999999998  -0.11043599999999998  -0.386392             -0.471539             -0.402365             -0.5948881            
0    7    0.948421   -0.02317899999999995  -0.18768799999999997  -0.461435             -0.667105             -0.651604             -0.8662105            
0    8    0.872713   -0.019073000000000007 -0.2918219999999999   -0.499986             -0.644345             -0.7831058            -0.86423628           
0    9    0.948421   -0.02317899999999995  -0.18768799999999997  -0.461435             -0.667105             -0.651604             -0.8662105            
0    10   0.988511   -0.017651000000000083 -0.16309200000000001  -0.277443             -0.412968             -0.470708             -0.651417             
0    11   0.778839   -0.10456499999999991  -0.11739999999999995  -0.31431699999999996  -0.44322599999999995  -0.551465             -0.708425             
0    12   0.782363   -0.082372             -0.16231400000000007  -0.27656400000000003  -0.413731             -0.530104             -0.6871718            
0    13   0.742806   -0.04247499999999993  -0.07133199999999995  -0.278178             -0.30616099999999996  -0.366998             -0.5861379999999999   
0    14   0.753832   -0.026864             -0.12309999999999999  -0.27093399999999995  -0.24185999999999996  -0.41192699999999993  -0.639786             
0    15   0.738771   -0.07448699999999997  -0.06786199999999998  -0.26273599999999997  -0.28739299999999995  -0.47202099999999997  -0.59488              
0    16   0.75437    -0.03539999999999999  -0.12778500000000004  -0.22245199999999998  -0.240842             -0.39544599999999996  -0.617979             
1    0    0.74542    -0.04418999999999995  -0.07261399999999996  -0.07650199999999996  -0.00036000000000002697-0.250005             -0.30681099999999994  
1    1    0.834999   -0.04138900000000001  -0.0727540000000001   -0.15094600000000002  -0.327758             -0.44235500000000005  -0.426698             
1    3    0.988511   -0.019021000000000066 -0.11071399999999998  -0.21972900000000006  -0.158269             -0.21654800000000007  -0.36311800000000005  
1    4    0.997003   -0.053590999999999944 -0.13317199999999996  -0.424384             -0.48550399999999994  -0.40332              -0.362849             
1    5    0.88192    0.0011359999999999149 -0.13966              -0.349955             -0.23378100000000002  -0.29752500000000004  -0.5353000000000001   
1    6    0.66679    -0.044764000000000026 -0.07513199999999998  -0.363634             -0.385133             -0.272573             -0.533394             
1    7    0.948421   -0.02448399999999995  -0.13941499999999996  -0.421909             -0.542612             -0.505913             -0.7958999999999999   
1    8    0.872713   -0.02027699999999999  -0.254961             -0.46973299999999996  -0.5432839999999999   -0.739123             -0.8569865999999999   
1    9    0.948421   -0.02448399999999995  -0.13941499999999996  -0.421909             -0.542612             -0.505913             -0.7958999999999999   
1    10   0.988511   -0.019021000000000066 -0.11071399999999998  -0.21972900000000006  -0.158269             -0.21654800000000007  -0.36311800000000005  
1    11   0.778839   -0.10551599999999994  -0.07542799999999994  -0.2766139999999999   -0.29470499999999994  -0.43985899999999994  -0.648203             
1    12   0.782363   -0.08335900000000007  -0.12296800000000008  -0.23551100000000003  -0.250598             -0.406283             -0.6057600000000001   
1    13   0.742806   -0.043462             -0.028722999999999943 -0.240467             -0.11292899999999995  -0.18253399999999997  -0.45214799999999994  
1    14   0.753832   -0.02788899999999994  -0.08307599999999993  -0.23173999999999995  -0.015293000000000001 -0.244104             -0.542249             
1    15   0.738771   -0.07542499999999996  -0.025289000000000006 -0.22409899999999994  -0.087642             -0.341089             -0.47181599999999996  
1    16   0.75437    -0.036413999999999946 -0.08802500000000002  -0.17927799999999994  -0.013587000000000016 -0.21926899999999994  -0.501331             
3    0    0.705735   -0.03128900000000001  -0.065913             -0.07669800000000004  -0.23350500000000002  -0.45583              -0.590646             
3    1    0.790545   -0.02724800000000005  -0.06566800000000006  -0.14727500000000004  -0.46904900000000005  -0.592481             -0.683409             
3    3    0.989885   -0.003190000000000026 -0.011105000000000032 -0.055167999999999995 -0.16708699999999999  -0.260096             -0.406208             
3    4    0.943924   -0.036546999999999996 -0.12244100000000002  -0.405444             -0.6197280000000001   -0.644449             -0.777525             
3    5    0.834968   0.01435900000000001   -0.12909700000000002  -0.334719             -0.42416800000000005  -0.540178             -0.7440165000000001   
3    6    0.631291   -0.03302400000000005  -0.06863800000000009  -0.34620900000000004  -0.45277300000000004  -0.43243300000000007  -0.5962885            
3    7    0.897928   -0.009281999999999901 -0.128583             -0.40280699999999997  -0.6407209999999999   -0.674711             -0.8579072            
3    8    0.826251   -0.0063749999999999085-0.238784             -0.44729699999999994  -0.617454             -0.7588630999999999   -0.82212446           
3    9    0.897928   -0.009281999999999901 -0.128583             -0.40280699999999997  -0.6407209999999999   -0.674711             -0.8579072            
3    10   0.989885   -0.003190000000000026 -0.011105000000000032 -0.055167999999999995 -0.16708699999999999  -0.260096             -0.406208             
3    11   0.737374   -0.08976899999999999  -0.06844699999999992  -0.265092             -0.430523             -0.56638              -0.7030957999999999   
3    12   0.740711   -0.068407             -0.11364200000000002  -0.22646200000000005  -0.403671             -0.551003             -0.6943711            
3    13   0.703259   -0.03062799999999999  -0.024182999999999955 -0.230869             -0.30403399999999997  -0.420637             -0.6269916            
3    14   0.713699   -0.015484999999999971 -0.07582599999999995  -0.222734             -0.24560299999999996  -0.45657299999999995  -0.6581805            
3    15   0.69944    -0.0614309999999999   -0.020935999999999955 -0.21545199999999998  -0.28674499999999997  -0.49883399999999994  -0.6293924            
3    16   0.714208   -0.023675             -0.08052999999999999  -0.173404             -0.24468899999999993  -0.44428399999999996  -0.6478117            
4    0    0.744674   -0.063465             -0.06633899999999993  -0.06269199999999997  -0.12600599999999995  -0.38177799999999995  -0.4374259999999999   
4    1    0.834163   -0.06321199999999993  -0.06565399999999999  -0.13675000000000004  -0.412971             -0.546548             -0.548146             
4    3    0.998367   -0.008137999999999979 -0.024931000000000036 -0.05037899999999995  -0.10669200000000001  -0.197256             -0.34707              
4    4    0.996005   -0.07952900000000007  -0.12507600000000008  -0.41220200000000007  -0.571277             -0.561127             -0.551777             
4    5    0.881037   -0.023193999999999937 -0.13267799999999996  -0.3386819999999999   -0.34284799999999993  -0.45296299999999995  -0.638228             
4    6    0.666123   -0.06185700000000005  -0.06960299999999997  -0.35704600000000003  -0.43224700000000005  -0.377356             -0.5726785            
4    7    0.947471   -0.0499139999999999   -0.13181699999999996  -0.4106749999999999   -0.6105039999999999   -0.6233299999999999   -0.840629             
4    8    0.87184    -0.043742999999999976 -0.2490119999999999   -0.46098999999999996  -0.598295             -0.7739837999999999   -0.8608235999999999   
4    9    0.947471   -0.0499139999999999   -0.13181699999999996  -0.4106749999999999   -0.6105039999999999   -0.6233299999999999   -0.840629             
4    10   0.998367   -0.008137999999999979 -0.024931000000000036 -0.05037899999999995  -0.10669200000000001  -0.197256             -0.34707              
4    11   0.778059   -0.12395999999999996  -0.06886799999999993  -0.26602499999999996  -0.37605399999999994  -0.5297529999999999   -0.6865481            
4    12   0.78158    -0.10253400000000001  -0.11676700000000007  -0.2240470000000001   -0.3400230000000001   -0.506098             -0.657868             
4    13   0.742062   -0.06268600000000002  -0.022110999999999992 -0.229912             -0.21903700000000004  -0.331658             -0.538454             
4    14   0.753077   -0.04786100000000004  -0.07680900000000002  -0.22078699999999996  -0.13982399999999995  -0.379697             -0.604862             
4    15   0.738032   -0.09362500000000007  -0.01868700000000001  -0.21330700000000002  -0.197361             -0.446726             -0.551029             
4    16   0.753615   -0.05615800000000004  -0.08179400000000003  -0.16729100000000008  -0.138498             -0.36164900000000005  -0.57636              
5    0    0.74542    -0.054589999999999916 -0.07099999999999995  -0.0037239999999999496-0.06095600000000001  -0.24147600000000002  -0.295008             
5    1    0.834999   -0.053160000000000096 -0.0709240000000001   -0.07652100000000006  -0.36901300000000004  -0.43559500000000007  -0.41571              
5    3    0.998691   -0.005186000000000024 -0.01677799999999996  -0.03395400000000004  -0.08413300000000001  -0.07728599999999997  -0.17464000000000002  
5    4    0.997003   -0.06758299999999995  -0.13109899999999997  -0.36208299999999993  -0.5271049999999999   -0.393099             -0.34578299999999995  
5    5    0.88192    -0.011961             -0.13787900000000008  -0.29207700000000003  -0.28649500000000006  -0.28746400000000005  -0.5259720000000001   
5    6    0.66679    -0.05398999999999998  -0.073712             -0.330651             -0.408041             -0.26578599999999997  -0.5298039999999999   
5    7    0.948421   -0.038188             -0.13747399999999999  -0.36462399999999995  -0.5756169999999999   -0.49829399999999996  -0.7917959999999999   
5    8    0.872713   -0.03292099999999998  -0.253479             -0.42588899999999996  -0.570077             -0.736823             -0.8565634            
5    9    0.948421   -0.038188             -0.13747399999999999  -0.36462399999999995  -0.5756169999999999   -0.49829399999999996  -0.7917959999999999   
5    10   0.998691   -0.005186000000000024 -0.01677799999999996  -0.03395400000000004  -0.08413300000000001  -0.07728599999999997  -0.17464000000000002  
5    11   0.778839   -0.115502             -0.07373999999999992  -0.22197199999999995  -0.33408099999999996  -0.43402299999999994  -0.6446879999999999   
5    12   0.782363   -0.093727             -0.121386             -0.17601300000000009  -0.293847             -0.39980800000000005  -0.6010070000000001   
5    13   0.742806   -0.053834999999999966 -0.02700899999999995  -0.18581199999999998  -0.16415799999999992  -0.17288799999999993  -0.44432599999999994  
5    14   0.753832   -0.03865599999999991  -0.08146699999999996  -0.17493599999999998  -0.07535999999999998  -0.23532799999999998  -0.5365549999999999   
5    15   0.738771   -0.08526299999999998  -0.02357699999999996  -0.16810199999999997  -0.14059899999999992  -0.33424199999999993  -0.46463199999999993  
5    16   0.75437    -0.047062999999999966 -0.086426             -0.11670899999999995  -0.07383600000000001  -0.21005699999999994  -0.494521             
6    3    0.884267   -0.05251499999999998  -0.11247600000000002  -0.14176100000000003  -0.21281700000000003  -0.35561700000000007  -0.44501500000000005  
6    7    0.871647   -0.04222899999999996  -0.29736799999999997  -0.4825809999999999   -0.674433             -0.7991353999999999   -0.8616429999999999   
6    8    0.869902   -0.022204             -0.2713169999999999   -0.41867299999999996  -0.586276             -0.7585409999999999   -0.8559371            
6    9    0.871647   -0.04222899999999996  -0.29736799999999997  -0.4825809999999999   -0.674433             -0.7991353999999999   -0.8616429999999999   
