#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 
0    1    0.361584   -0.004263000000000017 -0.07469400000000004  -0.17942500000000003  -0.200855             -0.2951577            -0.208797             
0    2    0.75115    0.06147400000000003   -0.07388300000000003  -0.254191             -0.394483             -0.255384             -0.506064             
0    3    0.720763   0.05250899999999992   0.0351769999999999    -0.11770500000000006  -0.13015300000000007  -0.084403             -0.206191             
0    9    0.873136   0.0027570000000000094 -0.04405900000000007  -0.21977599999999997  -0.312743             -0.254595             -0.331279             
0    11   0.75902    -0.008048000000000055 -0.114089             -0.17672500000000002  -0.290146             -0.13537              -0.347911             
0    16   0.833621   -0.00020299999999995322-0.0726079999999999   -0.22017599999999993  -0.313484             -0.39708199999999994  -0.574699             
7    0    0.854848   0.0012089999999999046 -0.05592000000000008  -0.11638400000000004  -0.27922800000000003  -0.22282400000000002  -0.41478500000000007  
7    1    0.383354   -0.021001999999999965 -0.10353799999999996  -0.17495799999999997  -0.19862399999999997  -0.3281186            -0.28759619999999997  
7    2    0.796375   0.027689999999999992  -0.135807             -0.22784000000000004  -0.38644900000000004  -0.3841300000000001   -0.6427700000000001   
7    3    0.764159   0.020000999999999935  -0.02685700000000002  -0.07424400000000009  -0.08535700000000002  -0.23500700000000008  -0.44165600000000005  
7    4    0.782449   -0.073766             -0.27785899999999997  -0.16567699999999996  -0.4087569999999999   -0.420683             -0.606441             
7    5    0.753203   -0.05278099999999997  -0.1540459999999999   -0.131899             -0.39292699999999997  -0.388082             -0.40308099999999997  
7    6    0.897634   -0.10156399999999999  -0.2946540000000001   -0.22740800000000005  -0.41893600000000003  -0.18422300000000003  -0.49092300000000005  
7    7    0.844991   -0.11624000000000001  -0.21823100000000006  -0.16464800000000002  -0.34833500000000006  -0.1582800000000001   -0.5094700000000001   
7    8    0.894751   -0.08665899999999993  -0.18800299999999992  -0.19197999999999993  -0.44655799999999995  -0.567971             -0.746547             
7    9    0.928557   -0.014357999999999982 -0.09907699999999997  -0.03890799999999994  -0.16303299999999998  -0.19300699999999993  -0.407867             
7    10   0.923049   -0.025254             -0.11238599999999999  -0.06853200000000004  -0.22762800000000005  -0.214094             -0.508217             
7    11   0.911413   -0.021181000000000005 -0.10813700000000004  -0.07078099999999998  -0.24021199999999998  -0.287508             -0.527472             
7    12   0.821823   -0.018413000000000013 -0.133988             -0.13475199999999998  -0.25188              -0.362751             -0.588818             
7    13   0.805899   -0.056711999999999985 -0.14271200000000006  -0.12267800000000006  -0.24134600000000006  -0.30722900000000003  -0.5402290000000001   
7    14   0.834285   -0.05342200000000008  -0.10114100000000004  -0.08782200000000007  -0.36472800000000005  -0.48872400000000005  -0.7304250000000001   
7    15   0.916876   -0.06608100000000006  -0.15481600000000006  -0.18203500000000006  -0.363305             -0.412338             -0.72613              
7    16   0.924806   -0.020214000000000065 -0.10500500000000001  -0.07014799999999999  -0.211453             -0.33398400000000006  -0.5889759999999999   
8    0    0.962601   0.00858099999999995   -0.015203000000000078 -0.09431              -0.21109100000000003  -0.408756             -0.38608600000000004  
8    1    0.334313   -0.010754000000000041 -0.06629800000000002  -0.15011400000000003  -0.18207100000000004  -0.30062750000000005  -0.270384             
8    2    0.694498   0.04134300000000002   -0.06178899999999998  -0.19197399999999998  -0.3566639999999999   -0.44308899999999996  -0.591949             
8    3    0.666402   0.033806              0.03980399999999995   -0.05659200000000009  -0.10697800000000002  -0.34369700000000003  -0.451095             
8    4    0.682353   -0.049540999999999946 -0.19904499999999997  -0.137193             -0.37438099999999996  -0.461729             -0.564848             
8    5    0.656848   -0.031413000000000024 -0.08296099999999995  -0.10768299999999997  -0.359933             -0.43417799999999995  -0.423102             
8    6    0.782803   -0.071959             -0.20525400000000005  -0.190396             -0.388292             -0.347727             -0.511278             
8    7    0.736894   -0.08616200000000007  -0.13656800000000002  -0.13554500000000003  -0.32758300000000007  -0.318101             -0.512896             
8    8    0.832009   0.011048999999999976  -0.09977599999999998  -0.16187799999999997  -0.344992             -0.590402             -0.653628             
8    9    0.950569   3.100000000000325e-05 -0.03270200000000001  -0.09258699999999997  -0.24090199999999995  -0.42947599999999997  -0.453865             
8    10   0.944197   -0.0029730000000000034-0.041258999999999935 -0.10134299999999996  -0.23598199999999991  -0.4042279999999999   -0.49863999999999997  
8    11   0.922618   0.009528999999999899  -0.03188600000000008  -0.099603             -0.27476100000000003  -0.47693900000000006  -0.531239             
8    12   0.764195   0.07397900000000002   -0.051556999999999964 -0.10903499999999999  -0.14488              -0.42477799999999993  -0.483745             
8    13   0.749387   0.03221699999999994   -0.062286000000000064 -0.09789800000000004  -0.13592900000000008  -0.38069200000000003  -0.42962100000000003  
8    14   0.775783   0.038868000000000014  -0.01620200000000005  -0.06398899999999996  -0.265551             -0.5202910000000001   -0.650775             
8    15   0.852582   0.03502700000000003   -0.06304199999999993  -0.15186999999999995  -0.251058             -0.47954899999999995  -0.6229959999999999   
8    16   0.950799   -0.0021529999999999605-0.031690999999999914 -0.11150299999999991  -0.25790599999999997  -0.512295             -0.588819             
8    17   0.810865   0.03578200000000009   -0.09041899999999992  -0.07323499999999994  -0.11591599999999991  -0.34976299999999994  -0.3821689999999999   
9    8    0.607734   -0.07522200000000001  -0.09129299999999996  -0.112257             -0.264474             -0.378756             -0.5347264            
9    9    0.545033   -0.06729599999999997  -0.089804             -0.18265399999999998  -0.27879899999999996  -0.327343             -0.429182             
9    10   0.558357   -0.05074400000000001  -0.014449999999999963 -0.04771199999999998  -0.128726             -0.20880100000000001  -0.417062             
9    11   0.543152   -0.03960699999999995  -0.021475000000000022 -0.08691699999999997  -0.23611699999999997  -0.320971             -0.43001799999999996  
9    12   0.5582     -0.02877300000000005  -0.055580000000000074 -0.07379200000000002  -0.12169300000000005  -0.236524             -0.44341800000000003  
9    13   0.547384   -0.05368799999999996  -0.062774             -0.06568999999999997  -0.11500499999999997  -0.197961             -0.41651              
9    14   0.566665   -0.05209599999999992  -0.030935999999999964 -0.04038299999999995  -0.20704199999999995  -0.324527             -0.5155016            
9    15   0.622762   -0.06210900000000008  -0.06590300000000004  -0.10467400000000004  -0.19879400000000003  -0.26922700000000005  -0.5287972000000001   
9    16   0.57708    -0.06912700000000005  -0.05241899999999999  -0.10961000000000004  -0.23246800000000006  -0.27730200000000005  -0.457757             
10   8    0.516509   -0.015217999999999954 -0.067303             -0.016813999999999996 -0.16753099999999999  -0.390224             -0.392636             
10   9    0.463219   -0.013492000000000004 -0.06725599999999998  -0.09775499999999998  -0.19255              -0.34316              -0.266652             
10   10   0.474543   0.003308000000000033  -0.001446999999999976 0.04044900000000001   -0.03775600000000001  -0.28175799999999995  -0.23480499999999999  
10   11   0.46162    0.012401000000000051  -0.007859999999999978 -0.0015009999999999746-0.14947099999999997  -0.33908399999999994  -0.269664             
10   12   0.47441    0.023975999999999997  -0.03722599999999998  0.014122000000000023  -0.03063300000000002  -0.29700099999999996  -0.279657             
10   13   0.465217   -0.0004669999999999952-0.04369899999999999  0.020577999999999985  -0.025635999999999992 -0.272505             -0.243162             
10   14   0.481604   0.0027960000000000207 -0.015620999999999996 0.04915799999999998   -0.11599099999999996  -0.348062             -0.3947944            
10   15   0.529281   -0.0015000000000000568-0.04491899999999999  -0.006781999999999955 -0.098252             -0.334302             -0.36985              
10   16   0.490456   -0.01228499999999999  -0.03410099999999999  -0.019006999999999996 -0.140104             -0.32512399999999997  -0.287998             
11   0    0.796799   0.012795999999999919  0.09375699999999998   -0.098522             -0.2608290000000001   -0.350347             -0.264644             
11   8    0.770837   -0.007630999999999943 0.02738600000000002   -0.12412500000000004  -0.36702999999999997  -0.504996             -0.567871             
11   9    0.691308   -0.00660700000000002950.01230500000000001   -0.21832000000000001  -0.37811400000000006  -0.438572             -0.369234             
11   10   0.708207   0.019312999999999914  0.13246799999999992   -0.04169800000000001  -0.20279500000000006  -0.302377             -0.31539700000000004  
11   11   0.688922   0.03276699999999999   0.117394              -0.09343000000000001  -0.32773              -0.430972             -0.374402             
11   12   0.708009   0.050775000000000015  0.06885300000000005   -0.07574400000000003  -0.19450800000000001  -0.334547             -0.388907             
11   13   0.69429    0.013283000000000045  0.05473400000000006   -0.06556799999999996  -0.18564499999999995  -0.288614             -0.33045299999999994  
11   14   0.718745   0.01874500000000001   0.10929100000000003   -0.03182600000000002  -0.295689             -0.43762599999999996  -0.576507             
11   15   0.789898   0.013638999999999957  0.070797              -0.11367300000000002  -0.29114799999999996  -0.379449             -0.52867              
11   16   0.731955   -0.003948000000000063 0.07897299999999996   -0.12179899999999999  -0.326558             -0.38391600000000004  -0.40022800000000003  
11   17   0.751248   0.01520699999999997   0.03412599999999999   -0.03939599999999999  -0.17503600000000008  -0.24389700000000003  -0.26346800000000004  
13   18   0.903917   -0.029810000000000003 -0.039285000000000014 -0.23344900000000002  -0.009985000000000022 -0.284374             -0.354004             
14   1    0.257371   -0.0024530000000000385-0.084929             -0.10386300000000001  -0.16726210000000002  -0.221621             -0.1823867            
14   2    0.534659   0.04507799999999995   -0.127571             -0.11586599999999997  -0.334702             -0.26784199999999997  -0.41437599999999997  
14   3    0.51303    0.03863300000000003   -0.05865300000000001  -0.004825999999999997 -0.181919             -0.170547             -0.26049              
