#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 
3    1    0.750733   -0.12281999999999993  -0.13522999999999996  -0.12766500000000003  -0.42147999999999997  -0.527748             -0.7060066            
3    2    0.373547   -0.06589800000000001  -0.09309600000000001  -0.145242             -0.21663000000000002  -0.20347300000000001  -0.3412558            
3    3    0.716648   -0.10806699999999991  -0.0877659999999999   -0.12420199999999992  -0.463759             -0.584467             -0.6761942            
3    4    0.600074   -0.08342300000000002  -0.10806500000000002  -0.14332099999999998  -0.393868             -0.43776899999999996  -0.555151             
3    5    0.267898   -0.057596000000000036 -0.05076400000000003  0.053307999999999967  -0.08731900000000004  -0.16016800000000003  -0.23658550000000003  
3    6    0.357376   -0.056957000000000035 -0.08939200000000003  -0.14100200000000002  -0.27190210000000004  -0.2693804            -0.3419838            
3    7    0.562156   -0.065282             0.014893999999999963  0.09126699999999999   -0.13029399999999997  -0.19848899999999997  -0.366152             
3    8    0.652373   -0.05811999999999995  -0.07986799999999994  0.008766000000000052  -0.14639800000000003  -0.390048             -0.529174             
3    10   0.608365   -0.004649000000000014 -0.047346             0.006603999999999943  -0.12882800000000005  -0.18808600000000003  -0.30663900000000005  
3    11   0.601951   -0.02216000000000007  -0.0010919999999999819-0.05650900000000003  -0.23298200000000002  -0.310334             -0.334774             
4    1    0.87054    -0.088422             -0.17728900000000003  -0.196828             -0.434535             -0.377905             -0.713319             
4    2    0.43316    -0.049958             -0.117284             -0.186298             -0.22536599999999998  -0.057419             -0.319651             
4    3    0.831015   -0.07297799999999999  -0.12269599999999992  -0.19041399999999997  -0.49613299999999994  -0.538991             -0.6888129999999999   
4    4    0.695838   -0.05230699999999999  -0.14167999999999992  -0.20195899999999994  -0.42277499999999996  -0.337261             -0.5379259999999999   
4    5    0.31065    -0.04870199999999997  -0.06608899999999998  0.03666400000000003   -0.07152199999999997  -0.07264299999999999  -0.20058199999999998  
4    6    0.414409   -0.040212000000000026 -0.11257400000000001  -0.18044800000000003  -0.30122200000000005  -0.22000200000000003  -0.36030280000000003  
4    8    0.756482   -0.016291999999999973 -0.11165999999999998  -0.041603999999999974 -0.08645800000000003  -0.17693400000000004  -0.323419             
7    1    0.789116   -0.10965200000000008  -0.14185100000000006  -0.27827100000000005  -0.507402             -0.5958380000000001   -0.7364454            
7    2    0.392646   -0.059740000000000015 -0.097723             -0.205462             -0.258385             -0.24523              -0.3546194            
7    3    0.753288   -0.09474399999999994  -0.09195399999999998  -0.267549             -0.536913             -0.638717             -0.7056488999999999   
7    4    0.630755   -0.07168799999999997  -0.11335699999999993  -0.25626899999999997  -0.45432199999999995  -0.490073             -0.577853             
7    5    0.281594   -0.05402700000000002  -0.053255000000000025 -0.018242000000000036 -0.127088             -0.1882157            -0.24471990000000002  
7    6    0.375648   -0.05056499999999997  -0.093835             -0.19824599999999998  -0.3025152            -0.2993755            -0.3575218            
7    7    0.590897   -0.05323              0.01593               -0.05516399999999999  -0.221389             -0.275679             -0.36007900000000004  
7    8    0.685727   -0.04268700000000003  -0.08367899999999995  -0.14366800000000002  -0.252808             -0.45835              -0.540646             
7    10   0.639469   0.013811000000000018  -0.04949899999999996  -0.13526399999999994  -0.22916999999999993  -0.27518099999999995  -0.28415099999999993  
7    11   0.632728   -0.005336999999999925 -0.0008629999999999471-0.18552699999999994  -0.31703299999999995  -0.37996099999999994  -0.31809599999999993  
8    1    0.750733   -0.12281999999999993  -0.13522999999999996  -0.12766500000000003  -0.42147999999999997  -0.527748             -0.7060066            
8    2    0.373547   -0.06589800000000001  -0.09309600000000001  -0.145242             -0.21663000000000002  -0.20347300000000001  -0.3412558            
8    3    0.716648   -0.10806699999999991  -0.0877659999999999   -0.12420199999999992  -0.463759             -0.584467             -0.6761942            
8    4    0.600074   -0.08342300000000002  -0.10806500000000002  -0.14332099999999998  -0.393868             -0.43776899999999996  -0.555151             
8    5    0.267898   -0.057596000000000036 -0.05076400000000003  0.053307999999999967  -0.08731900000000004  -0.16016800000000003  -0.23658550000000003  
8    6    0.357376   -0.056957000000000035 -0.08939200000000003  -0.14100200000000002  -0.27190210000000004  -0.2693804            -0.3419838            
8    7    0.562156   -0.065282             0.014893999999999963  0.09126699999999999   -0.13029399999999997  -0.19848899999999997  -0.366152             
8    8    0.652373   -0.05811999999999995  -0.07986799999999994  0.008766000000000052  -0.14639800000000003  -0.390048             -0.529174             
8    10   0.608365   -0.004649000000000014 -0.047346             0.006603999999999943  -0.12882800000000005  -0.18808600000000003  -0.30663900000000005  
8    11   0.601951   -0.02216000000000007  -0.0010919999999999819-0.05650900000000003  -0.23298200000000002  -0.310334             -0.334774             
9    1    0.792059   -0.07382899999999992  -0.13305999999999996  -0.28722099999999995  -0.367372             -0.34316699999999994  -0.681391             
9    2    0.39411    -0.042210000000000025 -0.09384000000000003  -0.209127             -0.19171000000000002  -0.05173300000000003  -0.314211             
9    3    0.756098   -0.05998100000000006  -0.08277500000000004  -0.27607100000000007  -0.42990900000000004  -0.49000400000000005  -0.6560020000000001   
9    4    0.633107   -0.04214299999999993  -0.106329             -0.263024             -0.36713199999999996  -0.30637              -0.521953             
9    5    0.282645   -0.04209399999999999  -0.05016699999999999  -0.022388999999999992 -0.04972499999999999  -0.06577199999999997  -0.20516759999999998  
9    6    0.377049   -0.033418             -0.09012700000000001  -0.20173300000000002  -0.26680000000000004  -0.19990500000000003  -0.33896350000000003  
9    8    0.688284   -0.008556000000000008 -0.07532099999999997  -0.152598             -0.03565200000000002  -0.16019700000000003  -0.38345              
10   1    0.925716   -0.07424699999999995  -0.09780299999999997  -0.086673             -0.13187099999999996  -0.14736899999999997  -0.527492             
10   2    0.460615   -0.04343399999999997  -0.08338099999999998  -0.15317199999999997  -0.08228000000000002  0.133042              -0.173109             
10   3    0.883687   -0.05843299999999996  -0.03777900000000001  -0.08588099999999999  -0.27396              -0.4223               -0.523504             
10   4    0.739942   -0.03934799999999994  -0.07814100000000002  -0.12486399999999998  -0.242769             -0.17340299999999997  -0.339968             
10   5    0.33034    -0.04516400000000004  -0.03827400000000003  0.10220599999999996   0.10504599999999997   0.045701999999999965  -0.05154800000000004  
10   6    0.440675   -0.033296999999999966 -0.08021              -0.1493               -0.234593             -0.133519             -0.303629             
11   1    0.921672   -0.04977600000000004  -0.049874000000000085 -0.05052200000000007  -0.037814000000000014 -0.09781800000000007  -0.452678             
11   2    0.458602   -0.031413000000000024 -0.06137199999999998  -0.13939400000000002  -0.037368999999999986 0.16976399999999997   -0.12000300000000003  
11   3    0.879826   -0.03477399999999997  0.010920999999999959  -0.051490000000000036 -0.200963             -0.391463             -0.455634             
11   4    0.736709   -0.019306999999999963 -0.039827999999999975 -0.0980939999999999   -0.18316299999999996  -0.137046             -0.26565399999999995  
11   5    0.328897   -0.03687999999999997  -0.021349000000000007 0.120201              0.155856              0.069131              -0.0005600000000000049
11   6    0.438749   -0.021598000000000006 -0.05917699999999998  -0.13622299999999998  -0.2093               -0.11363499999999999  -0.277349             
11   8    0.54012    -0.037852             -0.10833800000000005  -0.11762700000000004  -0.14482500000000004  -0.35911600000000005  -0.43292900000000006  
12   0    0.94       -0.024263999999999952 0.042127000000000026  -0.063805             -0.05536299999999994  -0.25129199999999996  -0.281825             
12   1    0.798821   -0.08934399999999998  0.058248999999999995  -0.05440400000000001  -0.09383600000000003  -0.26750399999999996  -0.477072             
12   2    0.397475   -0.04986400000000002  -0.0069550000000000445-0.12470500000000001  -0.061490000000000045 0.00776899999999997   -0.16518200000000002  
12   3    0.762553   -0.07491999999999999  0.11314599999999997   -0.05472100000000002  -0.22107700000000008  -0.44760000000000005  -0.47154              
12   4    0.638512   -0.054749999999999965 0.04659600000000008   -0.09280100000000002  -0.19699099999999997  -0.25177999999999995  -0.315349             
12   5    0.285058   -0.04743899999999998  0.01729400000000003   0.09870600000000002   0.10159200000000002   -0.02836299999999997  -0.05980499999999997  
12   6    0.380268   -0.040825             -0.007108000000000003 -0.121753             -0.19725399999999998  -0.170597             -0.269541             
