#term       erbb          wnt
231         1             0.999988
5664        0.999999      0.99583
22086       0.999999      0.99583
10804       0.999999      0.993904
21105       0.999998      0.999383
66          0.999998      0.95337
6729        0.999962      0
20961       0.999952      0.830872
31298       0.999886      0.95569
8101        0.999886      0.991681
18042       0.999879      0.926013
15311       0.999875      0.918361
11167       0.999871      0.992607
10782       0.999871      0.992607
27067       0.99977       0.740572
14874       0.999489      0.392646
990         0.999335      0.452314
16233       0.999203      0.988252
12647       0.999201      0.952056
2939        0.998962      0
4073        0.99824       0.978181
10898       0.99756       0.330622
7701        0.990816      0
5743        0.988204      0.95865
2920        0.985019      0.739942
27160       0.968167      0.905229
23949       0.966884      0
27048       0.966884      0.632728
4575        0.963769      0
33899       0.961893      0.632728
14411       0.961893      0.632728
16353       0.958752      0
22312       0.957772      0.397475
33290       0.950044      0.639469
10975       0.933928      0.544144
6730        0.933619      0
25184       0.91765       0.392646
26577       0.913804      0.731992
4128        0.88961       0.985129
6728        0.87369       0
28570       0.872713      0.925716
25724       0.872713      0.895839
8330        0.835835      0.767285
14238       0.753832      0
16893       0.74542       0
26578       0.738771      0.281594
20604       0             0
