#term       reachability  enrichment
231         0.999988      2.564949357461543
21105       0.999383      1.178654996341649
6003        0.998291      1.5023306714413336
22193       0.996818      2.1231166051825023
5664        0.99583       0.9570277455454015
22086       0.99583       0.9570277455454015
10804       0.993904      0.9957023256106826
11167       0.992607      2.5499114800969966
10782       0.992607      2.5499114800969966
3713        0.99189       1.0388930539664911
8101        0.991681      0.9591544363059384
16233       0.988252      0.5267507743157503
4594        0.986363      1.3886280844661167
4128        0.985129      0.9957023256106826
4073        0.978181      0.8838957535157816
182         0.972407      1.6836056556646173
4476        0.972407      1.6836056556646173
5743        0.95865       1.2212146107604418
4574        0.957604      0.8303483020734298
31298       0.95569       0.5215014184296074
66          0.95337       1.0664994375509926
12647       0.952056      0.23989140861543282
318         0.94          2.5649493574615367
7797        0.936698      1.6148917631165658
20960       0.936038      1.6836056556646173
18042       0.926013      0.9591544363059384
28570       0.925716      1.466337068793427
15311       0.918361      0.8276780735175523
2824        0.918361      1.1561821404895887
5256        0.910874      0.6190392084062235
720         0.906688      0.8602012652231108
27160       0.905229      0.1670540846631666
25724       0.895839      0.8602012652231108
1458        0.895839      0.8602012652231108
2802        0.850558      1.1561821404895887
9437        0.836484      0.6696492092926427
20961       0.830872      0.34278583177806493
15646       0.797915      0.8303483020734298
1502        0.789116      1.466337068793427
8330        0.767285      2.220446049250313e-16
15645       0.757719      0.1670540846631666
5801        0.753288      0.8303483020734298
31230       0.742629      2.220446049250313e-16
26665       0.740572      -0.0
27067       0.740572      0.1670540846631666
5831        0.739942      0.1670540846631666
2920        0.739942      0.1670540846631666
23799       0.739942      0.1670540846631666
25261       0.736709      -0.0
309         0.736709      0.23989140861543282
13279       0.736709      0.1670540846631666
26577       0.731992      0.1670540846631666
33290       0.639469      -0.0
19961       0.639469      -0.0
26934       0.639469      -0.0
33899       0.632728      -0.0
14411       0.632728      -0.0
20133       0.632728      2.220446049250313e-16
27048       0.632728      2.220446049250313e-16
1292        0.590897      -0.0
10975       0.544144      2.220446049250313e-16
6716        0.534765      2.220446049250313e-16
4461        0.534765      8.881784197001256e-16
2196        0.461807      0.6268619340874332
1685        0.461807      0.6268619340874332
990         0.452314      -0.0
5391        0.440675      2.220446049250313e-16
3409        0.440675      -0.0
22310       0.397475      0.5065612249795332
22312       0.397475      0.5065612249795332
1670        0.392646      -0.0
1386        0.392646      -0.0
14874       0.392646      -0.0
25184       0.392646      -0.0
4567        0.388851      -0.0
3709        0.388851      -0.0
4530        0.375648      -0.0
22081       0.33066       2.220446049250313e-16
10898       0.330622      2.220446049250313e-16
20557       0.33034       -0.0
3327        0.33034       0.1938563590424221
5509        0.328897      2.220446049250313e-16
10551       0.328897      2.220446049250313e-16
22074       0.328897      2.220446049250313e-16
20032       0.281594      -0.0
26578       0.281594      -0.0
22793       0.281594      -0.0
146         0.267898      -0.0
3772        0             -0.0
27259       0             -0.0
27403       0             1.0916436193520167
2839        0             2.220446049250313e-16
6229        0             -0.0
28489       0             -0.0
3925        0             -0.0
14238       0             2.220446049250313e-16
15573       0             2.220446049250313e-16
23829       0             -0.0
21299       0             -0.0
287         0             0.1670540846631666
4165        0             -0.0
6037        0             -0.0
6729        0             2.117935246440501
6584        0             1.8718021769015913
21457       0             -0.0
6464        0             -0.0
7069        0             -0.0
4889        0             -0.0
6098        0             2.220446049250313e-16
11166       0             0.6655592240411161
6319        0             -0.0
2193        0             -0.0
5898        0             0.1670540846631666
16352       0             -0.0
1344        0             0.1670540846631666
6730        0             0.8303483020734298
5683        0             2.220446049250313e-16
20092       0             -0.0
7701        0             1.4919139105830785
7801        0             1.0986122886681098
6592        0             -0.0
28575       0             -0.0
27763       0             -0.0
21407       0             -0.0
4868        0             -0.0
27071       0             -0.0
20974       0             -0.0
108         0             -0.0
22184       0             -0.0
6480        0             -0.0
14261       0             2.5649493574615367
5703        0             -0.0
15111       0             -0.0
6671        0             -0.0
10501       0             2.220446049250313e-16
1164        0             -0.0
6654        0             -0.0
25458       0             -0.0
16353       0             -0.0
5259        0             1.1786549963416473
2939        0             -0.0
15604       0             1.8718021769015913
30659       0             -0.0
604         0             -0.0
31146       0             -0.0
22196       0             -0.0
2806        0             2.220446049250313e-16
22195       0             0.23989140861543282
18701       0             -0.0
4575        0             -0.0
16893       0             -0.0
11472       0             0.1670540846631666
27158       0             0.5065612249795332
14245       0             -0.0
8574        0             -0.0
6728        0             1.2212146107604418
23949       0             2.220446049250313e-16
2513        0             -0.0
21003       0             2.220446049250313e-16
5899        0             1.466337068793427
8982        0             -0.0
20604       0             -0.0
