#d    t=0.05                 t=0.1                  t=0.15                 t=0.2                  t=0.25                 
0.05  0.40707964601769914    0.35398230088495575    0.30973451327433627    0.24778761061946902    0.21238938053097345    
0.1   0.5309734513274337     0.46017699115044247    0.39823008849557523    0.336283185840708      0.3008849557522124     
0.15  0.6371681415929203     0.49557522123893805    0.4247787610619469     0.37168141592920356    0.34513274336283184    
0.2   0.6991150442477876     0.5486725663716814     0.45132743362831856    0.4247787610619469     0.40707964601769914    
0.25  0.8230088495575221     0.6814159292035398     0.6194690265486725     0.5929203539823009     0.5486725663716814     
0.3   0.831858407079646      0.6902654867256637     0.6371681415929203     0.5929203539823009     0.5575221238938053     
0.35  0.7787610619469026     0.6814159292035398     0.6106194690265486     0.6017699115044248     0.5486725663716814     
0.4   0.5132743362831859     0.40707964601769914    0.2920353982300885     0.26548672566371684    0.26548672566371684    
0.45  0.5486725663716814     0.4424778761061947     0.39823008849557523    0.35398230088495575    0.3185840707964602     
0.5   0.49557522123893805    0.48672566371681414    0.4247787610619469     0.40707964601769914    0.3805309734513274     
