#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
3    1    0.750733   0.07848900000000003   -0.750733             0.0022570000000000645 -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             
3    2    0.373547   0.039055000000000006  -0.373547             0.0011239999999999584 -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             
3    3    0.716648   0.07492600000000005   0.08174200000000009   0.08174200000000009   0.1072240000000001    0.1072240000000001    0.1072240000000001    0.1072240000000001    0.03925500000000004   -0.716648             -0.716648             
3    4    0.600074   0.06273799999999996   -0.600074             0.0018050000000000566 -0.600074             -0.600074             -0.600074             -0.009383999999999948 -0.600074             -0.600074             -0.600074             
3    5    0.267898   0.028007999999999977  -0.267898             0.0008050000000000002 -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.05784900000000001  
3    6    0.357376   0.03736399999999995   -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             0.36806799999999995   -0.357376             -0.357376             -0.357376             
3    7    0.562156   -0.562156             -0.562156             0.16620900000000005   0.24373600000000006   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
3    8    0.652373   0.04104200000000002   0.0                   -0.652373             -0.652373             -0.652373             -0.652373             0.14732200000000006   0.08134700000000006   -0.652373             -0.10696499999999998  
3    10   0.608365   -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             0.212885              0.08222099999999999   
3    11   0.601951   -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             
4    1    0.87054    0.0                   -0.87054              0.0026169999999999805 -0.87054              -0.87054              -0.87054              -0.87054              -0.87054              -0.87054              -0.87054              
4    2    0.43316    0.0                   -0.43316              0.0013029999999999986 -0.43316              -0.43316              -0.43316              -0.43316              -0.43316              -0.43316              -0.43316              
