#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    1    0.0        0.0                   0.0                   0.0                   0.923863              0.923863              0.923863              0.923863              0.923863              0.923863              0.923863              
0    2    0.0        0.0                   0.0                   0.0                   0.459693              0.459693              0.459693              0.459693              0.459693              0.459693              0.459693              
0    3    0.0        0.0                   0.0                   0.0                   0.881918              0.881918              0.881918              0.881918              0.881918              0.881918              0.881918              
0    5    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.329679              0.329679              
0    6    0.0        0.0                   0.0                   0.0                   0.439793              0.439793              0.439793              0.439793              0.439793              0.0                   0.397513              
0    7    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.587946              
0    8    0.0        0.0                   0.0                   0.0                   0.73846               0.73846               0.73846               0.73846               0.73846               0.73846               0.73846               
0    10   0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.636275              
0    11   0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.736745              
3    1    0.750733   0.0                   -0.0809879999999999   -0.0809879999999999   -0.0809879999999999   -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             
3    2    0.373547   0.0                   -0.040297             -0.040297             -0.040297             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             
3    3    0.716648   0.0                   -0.0773109999999999   -0.0773109999999999   -0.0773109999999999   -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             
3    4    0.600074   -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             
3    5    0.267898   0.0                   0.000805              0.000805              0.000805              -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             
3    6    0.357376   0.0                   -0.038553             -0.038553             -0.038553             -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             
3    7    0.562156   0.0                   0.0                   0.0                   0.0                   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
3    8    0.652373   0.13409               0.119625              0.119625              0.119625              0.301794              0.301794              0.301794              0.301794              0.301794              0.301794              
3    10   0.608365   0.0                   0.0                   0.0                   0.0                   -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             
3    11   0.601951   0.0                   0.0                   0.0                   0.0                   -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             
4    1    0.87054    0.0                   -0.093913             -0.093913             -0.093913             0.00144600000000006   0.00144600000000006   0.00144600000000006   0.00144600000000006   0.003992              0.003992              
4    2    0.43316    0.0                   -0.046728             -0.046728             -0.046728             0.000719999999999998  0.000719999999999998  0.000719999999999998  0.000719999999999998  0.00198700000000002   0.00198700000000002   
4    3    0.831015   0.0                   -0.089649             -0.089649             -0.089649             0.00138100000000008   0.00138100000000008   0.00138100000000008   0.00138100000000008   0.00381100000000001   0.00381100000000001   
4    4    0.695838   -0.695838             -0.695838             -0.695838             -0.695838             -0.695838             -0.695838             -0.695838             -0.695838             -0.695838             -0.695838             
4    5    0.31065    0.0                   0.000934000000000046  0.000934000000000046  0.000934000000000046  0.000934000000000046  0.000934000000000046  0.000934000000000046  0.000934000000000046  0.00142500000000001   0.00142500000000001   
4    6    0.414409   0.0                   -0.044706             -0.044706             -0.044706             0.000687999999999966  0.000687999999999966  0.000687999999999966  0.000687999999999966  0.00124599999999997   0.00124599999999997   
4    7    0.0        0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.0                   0.556552              
