#d    t=0.05                 t=0.1                  t=0.15                 t=0.2                  t=0.25                 
0.05  0.19892755418638827    0.17275200615451017    0.1656218388813303     0.16122078082282232    0.15980118039649327    
0.1   0.3254218894423343     0.2767967028704071     0.2642493908759707     0.2540544932574394     0.25011280404745506    
0.15  0.3715921479390002     0.311600620172776      0.29054915216389815    0.28052613834987633    0.2746168183254775     
0.2   0.47946567075155394    0.41786064340501455    0.3886735655566146     0.3759094922064047     0.368060945376681      
0.25  0.5681149529181497     0.5050497428742701     0.4760424334092249     0.4602070957148814     0.44924553069143547    
0.3   0.5959571090507942     0.5342360261002905     0.5064012702339871     0.49212845451205856    0.4815130730367854     
0.35  0.6464582713388523     0.5919123241739632     0.5672937572276318     0.5557379806991508     0.5441181620272925     
0.4   0.659091889519194      0.6024577497607276     0.5767988751664036     0.561912614329757      0.54979731239095       
0.45  0.6950992392575135     0.643264117767987      0.616105068355176      0.6011001948641567     0.5866825296331437     
0.5   0.7175714005201342     0.6631387869655402     0.6332596625656549     0.6176454806349994     0.6043514222881443     
