#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
0    0    0.74542    -0.14340299999999995  -0.14272699999999994  -0.12136999999999998  -0.23624099999999992  -0.74542              -0.74542              0.06066500000000008   0.06066500000000008   0.06066500000000008   -0.74542              
0    1    0.834999   -0.16063700000000003  -0.159879             -0.159879             -0.159879             -0.107815             -0.38189600000000007  -0.834999             -0.834999             -0.834999             -0.834999             
0    3    0.988511   0.008131              -0.004618000000000011 -0.09912300000000007  -0.10057800000000006  0.0                   0.0                   0.0                   0.0                   -0.988511             -0.988511             
0    4    0.997003   0.0                   0.0                   -0.21376099999999998  -0.21376099999999998  -0.15335900000000002  -0.47133499999999995  -0.997003             -0.997003             -0.997003             0.0009980000000000544 
0    5    0.88192    0.0                   -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              0.052145              -0.043175000000000074 
0    6    0.66679    0.0                   0.0                   0.0                   0.19437899999999997   -0.66679              -0.66679              -0.66679              0.26314499999999996   -0.66679              -0.66679              
0    7    0.948421   0.0                   -0.04363600000000001  -0.05429699999999993  -0.05429699999999993  -0.03964499999999993  -0.007212999999999914 -0.06446799999999997  -0.01575699999999991  -0.16981999999999997  -0.07025799999999993  
0    8    0.872713   -0.872713             0.03120400000000001   0.03120400000000001   0.03120400000000001   0.117529              -0.872713             0.11356900000000003   -0.872713             -0.872713             -0.872713             
0    9    0.948421   0.0                   -0.04363600000000001  -0.05429699999999993  -0.05429699999999993  -0.03964499999999993  -0.007212999999999914 -0.06446799999999997  -0.01575699999999991  -0.16981999999999997  -0.07025799999999993  
0    10   0.988511   0.008131              -0.004618000000000011 -0.09912300000000007  -0.10057800000000006  0.0                   0.0                   0.0                   0.0                   -0.988511             -0.988511             
0    11   0.778839   0.0                   0.0008750000000000702 0.213673              -0.778839             -0.778839             -0.27234099999999994  0.15176               -0.778839             0.20967200000000008   -0.778839             
0    12   0.782363   0.0                   0.0008789999999999631 0.21463999999999994   -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
0    13   0.742806   0.0                   0.0008340000000000014 -0.742806             -0.742806             -0.742806             -0.742806             0.24595100000000003   -0.742806             -0.742806             -0.742806             
0    14   0.753832   0.0                   0.0008470000000000422 0.0008470000000000422 0.0008470000000000422 0.05904600000000004   -0.753832             -0.753832             -0.753832             -0.753832             -0.24964199999999992  
0    15   0.738771   0.0                   0.0008310000000000262 0.0008310000000000262 0.0008310000000000262 0.057867              0.13588100000000003   -0.738771             -0.738771             -0.738771             0.25223400000000007   
0    16   0.75437    0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   -0.75437              -0.75437              -0.75437              
1    0    0.74542    -0.14340299999999995  -0.14272699999999994  -0.12136999999999998  -0.23624099999999992  -0.74542              -0.74542              0.06066500000000008   0.06066500000000008   -0.74542              -0.74542              
1    1    0.834999   -0.16063700000000003  -0.159879             -0.159879             -0.159879             -0.107815             -0.38189600000000007  -0.834999             -0.834999             -0.834999             -0.834999             
1    3    0.988511   0.008131              -0.004618000000000011 -0.09912300000000007  -0.10057800000000006  0.0                   0.0                   0.0                   0.0                   -0.988511             -0.09801100000000007  
1    4    0.997003   0.0                   0.0                   -0.21376099999999998  -0.21376099999999998  -0.15335900000000002  -0.47133499999999995  -0.997003             -0.997003             0.0009980000000000544 -0.997003             
1    5    0.88192    0.0                   -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              -0.88192              
1    6    0.66679    0.0                   0.0                   0.0                   0.19437899999999997   -0.66679              -0.66679              -0.66679              0.26314499999999996   -0.66679              -0.66679              
1    7    0.948421   0.0                   -0.04363600000000001  -0.05429699999999993  -0.05429699999999993  -0.03964499999999993  -0.007212999999999914 -0.06446799999999997  -0.01575699999999991  -0.948421             -0.948421             
1    8    0.872713   -0.872713             0.03120400000000001   0.03120400000000001   0.03120400000000001   0.117529              -0.872713             0.11356900000000003   -0.872713             -0.872713             -0.872713             
1    9    0.948421   0.0                   -0.04363600000000001  -0.05429699999999993  -0.05429699999999993  -0.03964499999999993  -0.007212999999999914 -0.06446799999999997  -0.01575699999999991  -0.948421             -0.948421             
1    10   0.988511   0.008131              -0.004618000000000011 -0.09912300000000007  -0.10057800000000006  0.0                   0.0                   0.0                   0.0                   -0.988511             -0.09801100000000007  
1    11   0.778839   0.0                   0.0008750000000000702 0.213673              -0.778839             -0.778839             -0.27234099999999994  0.15176               -0.778839             -0.778839             -0.778839             
1    12   0.782363   0.0                   0.0008789999999999631 0.21463999999999994   -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             -0.782363             
1    13   0.742806   0.0                   0.0008340000000000014 -0.742806             -0.742806             -0.742806             -0.742806             0.24595100000000003   -0.742806             -0.742806             -0.742806             
1    14   0.753832   0.0                   0.0008470000000000422 0.0008470000000000422 0.0008470000000000422 0.05904600000000004   -0.753832             -0.753832             -0.753832             -0.753832             -0.753832             
1    15   0.738771   0.0                   0.0008310000000000262 0.0008310000000000262 0.0008310000000000262 0.057867              0.13588100000000003   -0.738771             -0.738771             -0.738771             -0.738771             
1    16   0.75437    0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   0.17969500000000005   -0.75437              -0.75437              -0.75437              
3    0    0.705735   -0.13576900000000003  -0.13512900000000005  -0.11490900000000004  -0.705735             -0.705735             -0.705735             -0.705735             -0.705735             0.05667100000000003   -0.705735             
3    1    0.790545   -0.15208500000000003  -0.15136700000000003  -0.15136700000000003  -0.790545             -0.790545             -0.790545             -0.790545             -0.790545             -0.22589400000000004  -0.790545             
3    3    0.989885   0.00041800000000002946-0.012240000000000029 -0.10201099999999996  -0.14763700000000002  -0.989885             -0.989885             -0.989885             -0.989885             -0.10617900000000002  -0.10617900000000002  
3    4    0.943924   0.0                   0.0                   -0.20238100000000003  -0.943924             -0.943924             -0.943924             -0.943924             0.0                   -0.943924             0.030313000000000034  
3    5    0.834968   0.0                   -0.834968             -0.834968             -0.834968             -0.834968             -0.834968             -0.834968             -0.834968             0.04848399999999997   -0.01619500000000007  
3    6    0.631291   0.0                   0.0                   0.0                   -0.631291             -0.631291             -0.631291             -0.631291             -0.631291             -0.631291             -0.631291             
3    7    0.897928   0.0                   -0.04131299999999993  -0.05140599999999995  -0.897928             -0.897928             -0.897928             -0.897928             -0.897928             -0.161516             -0.040674999999999906 
3    8    0.826251   -0.826251             0.029543000000000097  0.029543000000000097  -0.826251             0.08276800000000006   -0.826251             0.10871300000000006   -0.826251             -0.826251             -0.826251             
3    9    0.897928   0.0                   -0.04131299999999993  -0.05140599999999995  -0.897928             -0.897928             -0.897928             -0.897928             -0.897928             -0.161516             -0.040674999999999906 
