#d    t=0.05                 t=0.1                  t=0.15                 t=0.2                  t=0.25                 
0.05  0.24074074074074073    0.24074074074074073    0.19444444444444445    0.10185185185185185    0.10185185185185185    
0.1   0.4351851851851852     0.42592592592592593    0.28703703703703703    0.19444444444444445    0.19444444444444445    
0.15  0.7592592592592593     0.6203703703703703     0.5092592592592593     0.4074074074074074     0.26851851851851855    
0.2   0.8240740740740741     0.75                   0.6759259259259259     0.5648148148148148     0.4722222222222222     
0.25  0.8425925925925926     0.7592592592592593     0.6666666666666666     0.5833333333333334     0.5648148148148148     
0.3   0.8425925925925926     0.8333333333333334     0.7962962962962963     0.75                   0.7314814814814815     
0.35  0.9537037037037037     0.8703703703703703     0.7962962962962963     0.6851851851851852     0.5833333333333334     
0.4   0.8703703703703703     0.8240740740740741     0.7962962962962963     0.7685185185185185     0.7407407407407407     
0.45  0.8981481481481481     0.8518518518518519     0.8055555555555556     0.7314814814814815     0.6851851851851852     
0.5   0.8055555555555556     0.7592592592592593     0.7037037037037037     0.6851851851851852     0.6388888888888888     
