#s   t    P_ref      d=0.05                d=0.1                 d=0.15                d=0.2                 d=0.25                d=0.3                 d=0.35                d=0.4                 d=0.45                d=0.5                 
3    1    0.750733   0.0                   0.02715600000000007   -0.014351000000000003 0.06921100000000002   -0.07267999999999997  -0.750733             -0.750733             -0.750733             -0.750733             -0.750733             
3    2    0.373547   0.0                   0.013511999999999968  -0.00714100000000000850.03443799999999997   -0.036163             -0.373547             -0.373547             -0.373547             -0.373547             -0.373547             
3    3    0.716648   0.0                   0.027967999999999993  -0.011762999999999968 -0.716648             -0.06801799999999991  -0.716648             -0.716648             -0.716648             -0.716648             -0.716648             
3    4    0.600074   0.0                   0.021707000000000032  -0.011471000000000009 0.05532199999999998   -0.05809399999999998  -0.600074             -0.600074             -0.600074             -0.600074             -0.600074             
3    5    0.267898   0.0                   -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             -0.267898             0.52406               
3    6    0.357376   0.0                   0.012927999999999995  -0.00683100000000003150.03294699999999995   -0.03459800000000002  -0.357376             -0.357376             -0.357376             -0.357376             -0.357376             
3    7    0.562156   0.0                   0.0                   0.0                   -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             -0.562156             
3    8    0.652373   0.0                   0.0                   -0.03481000000000001  -0.652373             -0.17492399999999997  -0.652373             -0.652373             -0.652373             0.301794              0.14698               
3    10   0.608365   0.0                   0.0                   0.0                   -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             -0.608365             0.16132899999999994   
3    11   0.601951   0.0                   0.0                   0.0                   0.0                   -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             -0.601951             
4    1    0.87054    0.0                   0.03148899999999999   0.03148899999999999   0.03207400000000005   0.03207400000000005   0.03231200000000001   0.03173999999999999   -0.87054              -0.26175799999999994  -0.87054              
4    2    0.43316    0.0                   0.01566899999999999   0.01566899999999999   0.01596000000000003   0.01596000000000003   0.016078000000000037  0.01579400000000003   -0.43316              -0.13024399999999997  -0.43316              
4    3    0.831015   0.0                   0.032432000000000016  0.032432000000000016  0.032432000000000016  0.032432000000000016  0.03084600000000004   0.030300000000000105  -0.831015             -0.10707499999999992  -0.831015             
4    4    0.695838   0.0                   0.025170000000000026  0.025170000000000026  0.02563800000000005   0.02563800000000005   0.025828000000000073  0.025371000000000032  -0.695838             -0.20922699999999994  -0.695838             
4    5    0.31065    0.0                   -0.31065              -0.31065              -0.31065              -0.31065              -0.31065              -0.31065              -0.31065              0.009628999999999999  -0.31065              
4    6    0.414409   0.0                   0.014989999999999948  0.014989999999999948  0.015267999999999948  0.015267999999999948  0.015381999999999951  0.015109999999999957  -0.414409             -0.12460600000000005  -0.414409             
4    8    0.756482   0.0                   0.0                   0.0                   -0.756482             -0.12090899999999993  -0.12074099999999999  -0.756482             -0.756482             -0.756482             0.10084000000000004   
7    1    0.789116   0.0                   0.028544000000000014  -0.015085000000000015 0.07274899999999995   0.07933099999999993   0.07936199999999993   -0.08134200000000003  -0.789116             -0.789116             -0.789116             
7    2    0.392646   0.0                   0.014203000000000021  -0.007506000000000013 0.03619800000000001   0.03947299999999998   0.03948800000000002   -0.04047400000000001  -0.392646             -0.392646             -0.392646             
7    3    0.753288   0.0                   0.029399000000000064  -0.01236499999999996  -0.753288             0.03784799999999999   0.07575900000000002   -0.07764899999999997  0.20976800000000007   -0.753288             -0.753288             
7    4    0.630755   0.0                   0.02281600000000006   -0.012057999999999902 0.058149000000000006  0.06341000000000008   0.06343500000000002   -0.06501899999999994  -0.630755             -0.630755             -0.630755             
7    5    0.281594   0.0                   -0.281594             -0.281594             -0.281594             -0.281594             -0.281594             0.380796              -0.281594             -0.281594             -0.281594             
