#d    t=0.05                 t=0.1                  t=0.15                 t=0.2                  t=0.25                 
0.05  0.0                    0.0                    0.0                    0.0                    0.0                    
0.1   0.171875               0.171875               0.171875               0.171875               0.171875               
0.15  0.25                   0.25                   0.25                   0.25                   0.25                   
0.2   0.640625               0.546875               0.546875               0.546875               0.546875               
0.25  0.78125                0.5625                 0.53125                0.5                    0.5                    
0.3   0.796875               0.734375               0.6875                 0.65625                0.640625               
0.35  0.703125               0.625                  0.625                  0.625                  0.625                  
0.4   1.0                    0.921875               0.921875               0.921875               0.90625                
0.45  0.90625                0.8125                 0.75                   0.71875                0.703125               
0.5   0.84375                0.8125                 0.75                   0.671875               0.625                  
